# G_eff vs. r pro kompletní model
# M = 1.989e+30 kg = 1.00e+00 M_sun
# rho = 1.408e+03 kg/m^3
# R_proj = 2.300e-02 m
# sigma_max = 0.2
# r[m], G_eff/G_N
1.042404e+03,9.048374e-01
1.132683e+03,9.048374e-01
1.230780e+03,9.048374e-01
1.337373e+03,9.048374e-01
1.453198e+03,9.048374e-01
1.579053e+03,9.048374e-01
1.715809e+03,9.048374e-01
1.864409e+03,9.048374e-01
2.025878e+03,9.048374e-01
2.201331e+03,9.048374e-01
2.391980e+03,9.048374e-01
2.599140e+03,9.048374e-01
2.824241e+03,9.048374e-01
3.068838e+03,9.048374e-01
3.334618e+03,9.048374e-01
3.623416e+03,9.048374e-01
3.937226e+03,9.048374e-01
4.278214e+03,9.048374e-01
4.648734e+03,9.048374e-01
5.051342e+03,9.048374e-01
5.488820e+03,9.048374e-01
5.964185e+03,9.048374e-01
6.480720e+03,9.048374e-01
7.041990e+03,9.048374e-01
7.651869e+03,9.048374e-01
8.314568e+03,9.048374e-01
9.034660e+03,9.048374e-01
9.817117e+03,9.048374e-01
1.066734e+04,9.048374e-01
1.159120e+04,9.048374e-01
1.259506e+04,9.048374e-01
1.368587e+04,9.048374e-01
1.487115e+04,9.048374e-01
1.615909e+04,9.048374e-01
1.755856e+04,9.048374e-01
1.907924e+04,9.048374e-01
2.073162e+04,9.048374e-01
2.252711e+04,9.048374e-01
2.447809e+04,9.048374e-01
2.659804e+04,9.048374e-01
2.890160e+04,9.048374e-01
3.140465e+04,9.048374e-01
3.412449e+04,9.048374e-01
3.707988e+04,9.048374e-01
4.029122e+04,9.048374e-01
4.378069e+04,9.048374e-01
4.757236e+04,9.048374e-01
5.169242e+04,9.048374e-01
5.616930e+04,9.048374e-01
6.103390e+04,9.048374e-01
6.631981e+04,9.048374e-01
7.206351e+04,9.048374e-01
7.830465e+04,9.048374e-01
8.508632e+04,9.048374e-01
9.245531e+04,9.048374e-01
1.004625e+05,9.048374e-01
1.091632e+05,9.048374e-01
1.186174e+05,9.048374e-01
1.288904e+05,9.048374e-01
1.400531e+05,9.048374e-01
1.521825e+05,9.048374e-01
1.653624e+05,9.048374e-01
1.796838e+05,9.048374e-01
1.952456e+05,9.048374e-01
2.121550e+05,9.048374e-01
2.305289e+05,9.048374e-01
2.504942e+05,9.048374e-01
2.721885e+05,9.048374e-01
2.957617e+05,9.048374e-01
3.213764e+05,9.048374e-01
3.492096e+05,9.048374e-01
3.794533e+05,9.048374e-01
4.123163e+05,9.048374e-01
4.480254e+05,9.048374e-01
4.868271e+05,9.048374e-01
5.289893e+05,9.048374e-01
5.748030e+05,9.048374e-01
6.245845e+05,9.048374e-01
6.786773e+05,9.048374e-01
7.374549e+05,9.048374e-01
8.013230e+05,9.048374e-01
8.707225e+05,9.048374e-01
9.461324e+05,9.048374e-01
1.028073e+06,9.048374e-01
1.117111e+06,9.048374e-01
1.213859e+06,9.048374e-01
1.318987e+06,9.048374e-01
1.433219e+06,9.048374e-01
1.557345e+06,9.048374e-01
1.692220e+06,9.048374e-01
1.838777e+06,9.048374e-01
1.998026e+06,9.048374e-01
2.171068e+06,9.048374e-01
2.359095e+06,9.048374e-01
2.563407e+06,9.048374e-01
2.785414e+06,9.048374e-01
3.026648e+06,9.048374e-01
3.288774e+06,9.048374e-01
