z, E_new(eV), E_conformal(eV), E_logarithmic(eV), Ratio_conf, Ratio_log
3.955436244734701567e+00,7.730343541238447360e+17,1.103120205503148155e+00,7.730343541238447360e+17,1.427000235653720562e-18,1.000000000000000000e+00
4.298001206490798864e+00,8.053202057719953920e+17,1.219461459769370704e+00,8.053202057719953920e+17,1.514256628641735822e-18,1.000000000000000000e+00
4.670234388327335395e+00,8.381163098686478080e+17,1.350210612886731720e+00,8.381163098686478080e+17,1.611006249357372422e-18,1.000000000000000000e+00
5.074705239490470809e+00,8.713964649478755840e+17,1.497227566190064474e+00,8.713964649478755840e+17,1.718193298247571182e-18,1.000000000000000000e+00
5.514205739240302329e+00,9.051348953205125120e+17,1.662616959718933973e+00,9.051348953205125120e+17,1.836872015778591313e-18,1.000000000000000000e+00
5.991769669310619051e+00,9.393063750609670400e+17,1.848760566802419847e+00,9.393063750609670400e+17,1.968218906938030112e-18,1.000000000000000000e+00
6.510693555481461559e+00,9.738863334092834560e+17,2.058353982271334814e+00,9.738863334092834560e+17,2.113546429043372885e-18,1.000000000000000000e+00
7.074559422819878485e+00,1.008850942270728064e+18,2.294448173844890082e+00,1.008850942270728064e+18,2.274318313744676447e-18,1.000000000000000000e+00
7.687259521663735384e+00,1.044177186771788288e+18,2.560496541811032589e+00,1.044177186771788288e+18,2.452166714853391669e-18,1.000000000000000000e+00
8.353023195026779035e+00,1.079842920036691456e+18,2.860408217716714496e+00,1.079842920036691456e+18,2.648911396871983894e-18,1.000000000000000000e+00
9.076446072885365979e+00,1.115826903488541824e+18,3.198608429736914616e+00,1.115826903488541824e+18,2.866581205146359367e-18,1.000000000000000000e+00
9.862521794868783331e+00,1.152108834061435904e+18,3.580106872205376600e+00,1.152108834061435904e+18,3.107438087758355256e-18,1.000000000000000000e+00
1.071667648032863340e+01,1.188669359742919168e+18,4.010575141173317704e+00,1.188669359742919168e+18,3.374003972005057392e-18,1.000000000000000000e+00
1.164480618372686749e+01,1.225490084858293760e+18,4.496434438747049178e+00,1.225490084858293760e+18,3.669090835008250765e-18,1.000000000000000000e+00
1.265331759388942956e+01,1.262553566467978240e+18,5.044954908532068849e+00,1.262553566467978240e+18,3.995834349148007321e-18,1.000000000000000000e+00
1.374917225806420440e+01,1.299843303183969024e+18,5.664368145259361498e+00,1.299843303183969024e+18,4.357731529165461437e-18,1.000000000000000000e+00
1.493993463605257688e+01,1.337343717628400384e+18,6.363994626398653764e+00,1.337343717628400384e+18,4.758682859545146779e-18,1.000000000000000000e+00
1.623382431612279930e+01,1.375040133662306048e+18,7.154388045455890577e+00,1.375040133662306048e+18,5.203039438856790178e-18,1.000000000000000000e+00
1.763977275314045201e+01,1.412918749410925824e+18,8.047498789311127609e+00,1.412918749410925824e+18,5.695655742884218186e-18,1.000000000000000000e+00
1.916748492056814968e+01,1.450966607007567616e+18,9.056859099462469587e+00,1.450966607007567616e+18,6.241948681466267079e-18,1.000000000000000000e+00
2.082750630190516361e+01,1.489171559874313984e+18,1.019779279402359506e+01,1.489171559874313984e+18,6.847963705997909223e-18,1.000000000000000000e+00
2.263129568399529745e+01,1.527522238257363200e+18,1.148765280901634789e+01,1.527522238257363200e+18,7.520448816589249064e-18,1.000000000000000000e+00
2.459130425468046610e+01,1.566008013639324416e+18,1.294609024983697942e+01,1.566008013639324416e+18,8.266937421189123672e-18,1.000000000000000000e+00
2.672106155079435297e+01,1.604618962561607424e+18,1.459535913347426828e+01,1.604618962561607424e+18,9.095841114936279490e-18,1.000000000000000000e+00
